成交日期,房产名称与位置,价格(HKD),面积(呎),单价,中介公司
2025-04-01,天铸 2期 3座 中层 C室,"2,700万","1,142呎","@$23,643",中原集团
2025-04-01,御皇庭 3座 低层 H室,360万,374呎,"@$9,626",中原集团
2025-04-01,宇晴轩 1期 5座 低层 G室,665万,447呎,"@$14,877",中原集团
2025-04-01,花都广场 9座 中层 B室,518万,526呎,"@$9,848",中原集团
2025-04-01,青泰苑 俊泰阁 (F座) 低层 9室,566万,645呎,"@$8,775",中原集团
2025-04-01,屯门市广场 3期 8座 高层 H室,355万,363呎,"@$9,780",中原集团
2025-04-01,沙田中心 海宁大厦 (B座) 中层 D室,478万,378呎,"@$12,646",中原集团
2025-04-01,名城 1期 1座 低层 SC室,"1,528万",959呎,"@$15,933",中原集团
2025-04-01,美城苑 贵城阁 (A座) 高层 11室,372万,438呎,"@$8,493",中原集团
2025-04-01,裕泰苑 A座 (裕玥阁) 高层 3室,168万,278呎,"@$6,043",中原集团
2025-04-01,日出康城 3期A 致蓝天 珀峰 (3座) 中层 RC室,868万,748呎,"@$11,604",中原集团
2025-04-01,汇玺 3期 汇玺ll 3B座 低层 J室,650万,352呎,"@$18,466",中原集团
2025-04-01,盈晖台 3座 高层 H室,628万,438呎,"@$14,338",中原集团
2025-04-01,雅利德桦台 低层 E室,"1,128万",906呎,"@$12,450",中原集团
2025-04-01,御龙山 2座 中层 B室,"1,600万",996呎,"@$16,064",中原集团
2025-04-01,栢慧豪园 1期 5座 低层 H室,443万,494呎,"@$8,968",中原集团
2025-04-01,嘉湖山庄 5期 丽湖居 4座 低层 G室,399万,547呎,"@$7,294",中原集团
2025-04-01,日出康城 1期 首都 琉森 (2座-左翼) 高层 D室,740万,705呎,"@$10,496",中原集团
2025-04-01,嘉湖山庄 2期 赏湖居 1座 高层 B室,520万,633呎,"@$8,215",中原集团
2025-04-01,富荣花园 3座 高层 J室,530万,484呎,"@$10,950",中原集团
2025-04-01,康怡花园 B座 (9-16室) 高层 14室,795万,668呎,"@$11,901",中原集团
2025-04-01,栢蕙苑 瑞柏阁 (2座) 中层 F室,680万,550呎,"@$12,364",中原集团
2025-04-01,浪澄湾 7座 低层 E室,875万,559呎,"@$15,653",中原集团
2025-04-01,东港城 8座 高层 G室,530万,463呎,"@$11,447",中原集团
